backend,image,label,selector,rho,source_jpg_bytes,full_encoded_bytes,pre_encoded_bytes,rho_bytes_vs_source,rho_bytes_reencoded,jpeg_quality,mask_count_raw,mask_count_filtered,fallback_full,sam_latency_ms,full_pred,full_correct,full_true_prob,pre_pred,pre_correct,pre_true_prob,eta_prob
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top1,0.010009765625,4557,2447,455,0.09984639016897082,0.18594196975888844,90,28,27,0,697.3131448030472,Industrial,1,0.7166163325309753,Pasture,0.0,0.09862755984067917,0.13762951716763452
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top3,0.0234375,4557,2447,777,0.17050691244239632,0.31753167143440947,90,28,27,0,697.3131448030472,Industrial,1,0.7166163325309753,SeaLake,0.0,0.052203863859176636,0.07284771709681924
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_top5,0.03125,4557,2447,936,0.2053982883475971,0.3825091949325705,90,28,27,0,697.3131448030472,Industrial,1,0.7166163325309753,Forest,0.0,0.09545154124498367,0.1331975520399653
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_1356.jpg,Industrial,sam_all_filtered,0.214599609375,4557,2447,2804,0.6153170945797674,1.1458929301185126,90,28,27,0,697.3131448030472,Industrial,1,0.7166163325309753,Forest,0.0,0.025862785056233406,0.03609014179859695
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top1,0.009521484375,4027,2008,449,0.11149739259995034,0.22360557768924302,90,13,11,0,291.8157633394003,Industrial,1,0.3318532109260559,Forest,0.0,0.046407684683799744,0.13984401282210399
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top3,0.042236328125,4027,2008,864,0.2145517755152719,0.4302788844621514,90,13,11,0,291.8157633394003,Industrial,1,0.3318532109260559,Highway,0.0,0.09948192536830902,0.29977689560603876
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_top5,0.063720703125,4027,2008,1144,0.28408244350633227,0.5697211155378487,90,13,11,0,291.8157633394003,Industrial,1,0.3318532109260559,AnnualCrop,0.0,0.089131660759449,0.2685876098975263
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Industrial/Industrial_685.jpg,Industrial,sam_all_filtered,0.293701171875,4027,2008,1451,0.36031785448224485,0.7226095617529881,90,13,11,0,291.8157633394003,Industrial,1,0.3318532109260559,Highway,0.0,0.14695049822330475,0.4428177681729544
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_top1,0.0048828125,3169,1380,440,0.13884506153360682,0.3188405797101449,90,10,8,0,269.6633916348219,AnnualCrop,0,0.1368331015110016,SeaLake,0.0,0.11885817348957062,0.8686361134627518
mobile_sam,/root/autodl-tmp/data/eurosat/2750/Pasture/Pasture_1517.jpg,Pasture,sam_top3,0.1083984375,3169,1380,883,0.2786367939413064,0.6398550724637682,90,10,8,0,269.6633916348219,AnnualCrop,0,0.1368331015110016,PermanentCrop,0.0,0.07193969935178757,0.5257477800136212
